lotNum,wafer,wafer1,replicate,Y
6,2,12,4,168.052
6,2,12,5,174.399
6,2,12,6,169.155
6,2,12,7,169.722
6,2,12,8,165.914
6,2,12,9,166.649
7,1,13,1,181.156
7,1,13,2,182.025
7,1,13,3,178.751
7,1,13,4,185.465
7,1,13,5,184.396
7,1,13,6,183.962
7,1,13,7,187.736
7,1,13,8,183.929
7,1,13,9,181.791
7,2,14,1,184.764
7,2,14,2,184.864
7,2,14,3,184.396
7,2,14,4,189.139
7,2,14,5,191.678
7,2,14,6,185.966
7,2,14,7,192.947
7,2,14,8,187.87
7,2,14,9,186.434
8,1,15,1,182.893
8,1,15,2,180.02
8,1,15,3,179.82
8,1,15,4,181.858
8,1,15,5,190.375
8,1,15,6,186.701
8,1,15,7,187.636
8,1,15,8,179.887
8,1,15,9,178.785
8,2,16,1,176.213
8,2,16,2,176.446
8,2,16,3,177.682
8,2,16,4,173.941
8,2,16,5,186.233
8,2,16,6,174.643
8,2,16,7,180.02
8,2,16,8,176.747
8,2,16,9,178.618
9,1,17,1,176.537
9,1,17,2,175.334
9,1,17,3,172.962
9,1,17,4,175
9,1,17,5,175.668
9,1,17,6,172.829
9,1,17,7,178.841
9,1,17,8,173.564
9,1,17,9,168.052
9,2,18,1,174.833
9,2,18,2,177.105
9,2,18,3,175.902
9,2,18,4,171.259
9,2,18,5,181.948
9,2,18,6,170.825
9,2,18,7,171.526
9,2,18,8,176.102
9,2,18,9,171.493
10,1,19,1,175.334
10,1,19,2,175.1
10,1,19,3,176.436
10,1,19,4,175.201
10,1,19,5,187.794
10,1,19,6,176.938
10,1,19,7,176.67
10,1,19,8,178.741
10,1,19,9,178.374
10,2,20,1,183.384
10,2,20,2,180.445
10,2,20,3,178.374
10,2,20,4,179.042
10,2,20,5,183.017
10,2,20,6,181.781
10,2,20,7,180.445
10,2,20,8,184.487
10,2,20,9,177.539
11,1,21,1,166.493
11,1,21,2,174.81
11,1,21,3,168.397
11,1,21,4,177.081
11,1,21,5,171.503
11,1,21,6,171.904
11,1,21,7,181.423
11,1,21,8,182.158
11,1,21,9,169.532
11,2,22,1,160.38
11,2,22,2,165.257
11,2,22,3,164.355
11,2,22,4,168.931
11,2,22,5,168.697
11,2,22,6,163.82
11,2,22,7,172.204
11,2,22,8,167.294
11,2,22,9,164.522
12,1,23,1,177.706
12,1,23,2,177.071
12,1,23,3,176.77
12,1,23,4,177.539
12,1,23,5,188.996
12,1,23,6,179.109
12,1,23,7,183.117
12,1,23,8,177.839
12,1,23,9,178.808
12,2,24,1,173.864
12,2,24,2,174.466
12,2,24,3,178.474
12,2,24,4,171.626
12,2,24,5,190.7
12,2,24,6,166.048
12,2,24,7,171.359
12,2,24,8,176.503
12,2,24,9,178.641
13,1,25,1,161.148
13,1,25,2,162.05
13,1,25,3,165.09
13,1,25,4,160.948
13,1,25,5,170.467
13,1,25,6,157.24
13,1,25,7,162.084
13,1,25,8,166.893
13,1,25,9,166.125
13,2,26,1,155.002
13,2,26,2,158.51
13,2,26,3,158.075
13,2,26,4,158.343
13,2,26,5,163.253
13,2,26,6,156.305
13,2,26,7,159.011
13,2,26,8,157.574
13,2,26,9,161.382
14,1,27,1,172.538
14,1,27,2,176.179
14,1,27,3,177.048
14,1,27,4,175.11
14,1,27,5,180.822
14,1,27,6,171.67
14,1,27,7,169.866
14,1,27,8,173.039
14,1,27,9,171.67
14,2,28,1,170.033
14,2,28,2,172.271
14,2,28,3,175.945
14,2,28,4,172.505
14,2,28,5,183.962
14,2,28,6,168.397
14,2,28,7,171.603
14,2,28,8,175.645
14,2,28,9,176.68
15,1,29,1,184.253
15,1,29,2,184.219
15,1,29,3,187.727
15,1,29,4,177.873
15,1,29,5,195.476
15,1,29,6,177.505
15,1,29,7,175.167
15,1,29,8,179.543
15,1,29,9,187.66
15,2,30,1,187.526
15,2,30,2,183.217
15,2,30,3,189.43
15,2,30,4,182.783
15,2,30,5,200.52
15,2,30,6,183.451
15,2,30,7,183.184
15,2,30,8,183.952
15,2,30,9,189.965
16,1,31,1,166.382
16,1,31,2,170.858
16,1,31,3,169.121
16,1,31,4,172.061
16,1,31,5,179.81
16,1,31,6,168.119
16,1,31,7,172.795
16,1,31,8,170.858
16,1,31,9,170.658
16,2,32,1,168.486
16,2,32,2,168.954
16,2,32,3,169.722
16,2,32,4,171.626
16,2,32,5,177.572
16,2,32,6,172.395
16,2,32,7,173.998
16,2,32,8,172.428
16,2,32,9,171.66
17,1,33,1,181.046
17,1,33,2,181.514
17,1,33,3,182.75
17,1,33,4,177.639
17,1,33,5,193.973
17,1,33,6,181.414
17,1,33,7,175.134
17,1,33,8,178.942
17,1,33,9,185.088
17,2,34,1,174.733
17,2,34,2,177.071
17,2,34,3,180.545
17,2,34,4,175.167
17,2,34,5,195.243
17,2,34,6,173.096
17,2,34,7,172.328
17,2,34,8,178.775
17,2,34,9,181.447
18,1,35,1,163.309
18,1,35,2,170.123
18,1,35,3,167.885
18,1,35,4,171.626
18,1,35,5,173.664
18,1,35,6,168.82
18,1,35,7,171.56
18,1,35,8,162.374
18,1,35,9,166.215
18,2,36,1,165.347
18,2,36,2,164.612
18,2,36,3,164.612
18,2,36,4,168.019
18,2,36,5,173.43
18,2,36,6,167.585
18,2,36,7,173.297
18,2,36,8,159.701
18,2,36,9,161.906
19,1,37,1,173.707
19,1,37,2,174.175
19,1,37,3,170.568
19,1,37,4,179.753
19,1,37,5,180.154
19,1,37,6,175.712
19,1,37,7,183.594
19,1,37,8,177.415
19,1,37,9,169.766
19,2,38,1,165.357
19,2,38,2,168.998
19,2,38,3,166.726
19,2,38,4,173.975
19,2,38,5,172.705
19,2,38,6,167.962
19,2,38,7,173.507
19,2,38,8,171.67
19,2,38,9,167.896
20,1,39,1,171.77
20,1,39,2,169.399
20,1,39,3,166.359
20,1,39,4,161.716
20,1,39,5,176.413
20,1,39,6,172.004
20,1,39,7,170.701
20,1,39,8,168.33
20,1,39,9,165.825
20,2,40,1,162.084
20,2,40,2,164.154
20,2,40,3,158.142
20,2,40,4,161.783
20,2,40,5,160.013
20,2,40,6,160.981
20,2,40,7,162.384
20,2,40,8,163.72
20,2,40,9,161.716
